,misconception_id,misconception,tweet_id,label,category
0,3,Coronavirus is genetically engineered.,1.23393276710215e+18,pos,Conspiracy theories
1,3,Coronavirus is genetically engineered.,1.23398288518462e+18,pos,Conspiracy theories
2,3,Coronavirus is genetically engineered.,1.23394249457797e+18,pos,Conspiracy theories
3,3,Coronavirus is genetically engineered.,1.23392078744017e+18,neg,Conspiracy theories
4,3,Coronavirus is genetically engineered.,1.23394466107462e+18,pos,Conspiracy theories
5,3,Coronavirus is genetically engineered.,1.23393248040895e+18,pos,Conspiracy theories
6,3,Coronavirus is genetically engineered.,1.23391227970537e+18,pos,Conspiracy theories
7,3,Coronavirus is genetically engineered.,1.23393392985973e+18,pos,Conspiracy theories
8,3,Coronavirus is genetically engineered.,1.23393966854412e+18,pos,Conspiracy theories
9,3,Coronavirus is genetically engineered.,1.23394186859928e+18,pos,Conspiracy theories
10,3,Coronavirus is genetically engineered.,1.23394197811254e+18,pos,Conspiracy theories
11,3,Coronavirus is genetically engineered.,1.23392630940498e+18,pos,Conspiracy theories
12,3,Coronavirus is genetically engineered.,1.23391216760852e+18,pos,Conspiracy theories
13,3,Coronavirus is genetically engineered.,1.23392235030915e+18,pos,Conspiracy theories
14,3,Coronavirus is genetically engineered.,1.23390849797844e+18,pos,Conspiracy theories
15,3,Coronavirus is genetically engineered.,1.23393845613026e+18,pos,Conspiracy theories
16,3,Coronavirus is genetically engineered.,1.2339598955585e+18,neg,Conspiracy theories
17,3,Coronavirus is genetically engineered.,1.23391555541063e+18,pos,Conspiracy theories
18,3,Coronavirus is genetically engineered.,1.23391820008722e+18,pos,Conspiracy theories
19,3,Coronavirus is genetically engineered.,1.23394319311433e+18,pos,Conspiracy theories
20,3,Coronavirus is genetically engineered.,1.2339574524518e+18,pos,Conspiracy theories
21,3,Coronavirus is genetically engineered.,1.23399280709156e+18,neg,Conspiracy theories
22,3,Coronavirus is genetically engineered.,1.23393803615032e+18,pos,Conspiracy theories
23,3,Coronavirus is genetically engineered.,1.23391565353652e+18,pos,Conspiracy theories
24,3,Coronavirus is genetically engineered.,1.23399062378027e+18,pos,Conspiracy theories
25,3,Coronavirus is genetically engineered.,1.23393423005849e+18,neg,Conspiracy theories
26,3,Coronavirus is genetically engineered.,1.23393773983946e+18,pos,Conspiracy theories
27,3,Coronavirus is genetically engineered.,1.23393029520587e+18,pos,Conspiracy theories
28,3,Coronavirus is genetically engineered.,1.23394530677934e+18,pos,Conspiracy theories
29,3,Coronavirus is genetically engineered.,1.23390968473994e+18,pos,Conspiracy theories
30,3,Coronavirus is genetically engineered.,1.23391531923378e+18,neg,Conspiracy theories
31,3,Coronavirus is genetically engineered.,1.23399378079503e+18,pos,Conspiracy theories
32,3,Coronavirus is genetically engineered.,1.23392789248631e+18,pos,Conspiracy theories
33,3,Coronavirus is genetically engineered.,1.23391411739773e+18,neg,Conspiracy theories
34,3,Coronavirus is genetically engineered.,1.23395547167501e+18,pos,Conspiracy theories
35,3,Coronavirus is genetically engineered.,1.23391147134154e+18,pos,Conspiracy theories
36,3,Coronavirus is genetically engineered.,1.23394646845892e+18,pos,Conspiracy theories
37,3,Coronavirus is genetically engineered.,1.2339862241398e+18,pos,Conspiracy theories
38,3,Coronavirus is genetically engineered.,1.23399218937558e+18,pos,Conspiracy theories
39,3,Coronavirus is genetically engineered.,1.23390564415722e+18,pos,Conspiracy theories
40,3,Coronavirus is genetically engineered.,1.23394353129251e+18,pos,Conspiracy theories
41,3,Coronavirus is genetically engineered.,1.23399284997418e+18,neg,Conspiracy theories
42,3,Coronavirus is genetically engineered.,1.23398007950564e+18,pos,Conspiracy theories
43,3,Coronavirus is genetically engineered.,1.23394128899659e+18,neg,Conspiracy theories
44,3,Coronavirus is genetically engineered.,1.2339317585271e+18,neg,Conspiracy theories
45,3,Coronavirus is genetically engineered.,1.23391041337023e+18,neg,Conspiracy theories
46,3,Coronavirus is genetically engineered.,1.23390745039225e+18,pos,Conspiracy theories
47,3,Coronavirus is genetically engineered.,1.23396309012491e+18,pos,Conspiracy theories
48,3,Coronavirus is genetically engineered.,1.23392455371125e+18,pos,Conspiracy theories
49,3,Coronavirus is genetically engineered.,1.23394690049734e+18,pos,Conspiracy theories
50,3,Coronavirus is genetically engineered.,1.23392017741198e+18,pos,Conspiracy theories
51,3,Coronavirus is genetically engineered.,1.23398273090549e+18,pos,Conspiracy theories
52,11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339317585271e+18,neg,Virus origin and properties
53,11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23395628348681e+18,neg,Virus origin and properties
54,11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23398276384341e+18,neg,Virus origin and properties
55,11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23390706069116e+18,neg,Virus origin and properties
56,11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23398954075649e+18,neg,Virus origin and properties
57,1,A person can tell if they have coronavirus or not simply by holding their breath.,1.23394733433502e+18,pos,Medical advice and self-treatments
58,1,A person can tell if they have coronavirus or not simply by holding their breath.,1.23395775410201e+18,neg,Medical advice and self-treatments
59,1,A person can tell if they have coronavirus or not simply by holding their breath.,1.23397455635375e+18,neg,Medical advice and self-treatments
60,50,It is safe for individuals infected with COVID-19 to go to work.,1.23393142935391e+18,neg,Virus transmission
61,50,It is safe for individuals infected with COVID-19 to go to work.,1.23397624103362e+18,neg,Virus transmission
62,15,Coronavirus can only survive in cold temperatures.,1.23397959461872e+18,pos,Virus origin and properties
63,15,Coronavirus can only survive in cold temperatures.,1.23398532746912e+18,pos,Virus origin and properties
64,15,Coronavirus can only survive in cold temperatures.,1.23396810412995e+18,pos,Virus origin and properties
65,15,Coronavirus can only survive in cold temperatures.,1.23398226609278e+18,pos,Virus origin and properties
66,15,Coronavirus can only survive in cold temperatures.,1.23396230781995e+18,pos,Virus origin and properties
67,15,Coronavirus can only survive in cold temperatures.,1.23397642521807e+18,pos,Virus origin and properties
68,15,Coronavirus can only survive in cold temperatures.,1.23394734486711e+18,pos,Virus origin and properties
69,15,Coronavirus can only survive in cold temperatures.,1.23396646510937e+18,pos,Virus origin and properties
70,15,Coronavirus can only survive in cold temperatures.,1.23397698008258e+18,pos,Virus origin and properties
71,15,Coronavirus can only survive in cold temperatures.,1.23397205404866e+18,pos,Virus origin and properties
72,15,Coronavirus can only survive in cold temperatures.,1.23392047546763e+18,pos,Virus origin and properties
73,15,Coronavirus can only survive in cold temperatures.,1.23394087438146e+18,pos,Virus origin and properties
74,15,Coronavirus can only survive in cold temperatures.,1.23397811964141e+18,neg,Virus origin and properties
75,15,Coronavirus can only survive in cold temperatures.,1.23390838978617e+18,pos,Virus origin and properties
76,15,Coronavirus can only survive in cold temperatures.,1.23392377031172e+18,pos,Virus origin and properties
77,15,Coronavirus can only survive in cold temperatures.,1.23398107470058e+18,pos,Virus origin and properties
78,15,Coronavirus can only survive in cold temperatures.,1.23392183026557e+18,neg,Virus origin and properties
79,15,Coronavirus can only survive in cold temperatures.,1.23397480973997e+18,pos,Virus origin and properties
80,15,Coronavirus can only survive in cold temperatures.,1.23395206998949e+18,pos,Virus origin and properties
81,15,Coronavirus can only survive in cold temperatures.,1.23397359152967e+18,pos,Virus origin and properties
82,15,Coronavirus can only survive in cold temperatures.,1.23396222502026e+18,pos,Virus origin and properties
83,15,Coronavirus can only survive in cold temperatures.,1.23396441846505e+18,pos,Virus origin and properties
84,15,Coronavirus can only survive in cold temperatures.,1.23399508809671e+18,pos,Virus origin and properties
85,15,Coronavirus can only survive in cold temperatures.,1.23397168801181e+18,pos,Virus origin and properties
86,15,Coronavirus can only survive in cold temperatures.,1.23395059326743e+18,pos,Virus origin and properties
87,15,Coronavirus can only survive in cold temperatures.,1.23397154701622e+18,neg,Virus origin and properties
88,15,Coronavirus can only survive in cold temperatures.,1.23398565750193e+18,pos,Virus origin and properties
89,15,Coronavirus can only survive in cold temperatures.,1.23398886738621e+18,neg,Virus origin and properties
90,15,Coronavirus can only survive in cold temperatures.,1.23399331453546e+18,pos,Virus origin and properties
91,15,Coronavirus can only survive in cold temperatures.,1.23396998134961e+18,pos,Virus origin and properties
92,15,Coronavirus can only survive in cold temperatures.,1.2339213788748e+18,pos,Virus origin and properties
93,15,Coronavirus can only survive in cold temperatures.,1.23398498686224e+18,neg,Virus origin and properties
94,15,Coronavirus can only survive in cold temperatures.,1.23392440258623e+18,pos,Virus origin and properties
95,15,Coronavirus can only survive in cold temperatures.,1.23391725302584e+18,pos,Virus origin and properties
96,15,Coronavirus can only survive in cold temperatures.,1.23397337679814e+18,pos,Virus origin and properties
97,15,Coronavirus can only survive in cold temperatures.,1.23397284449894e+18,pos,Virus origin and properties
98,15,Coronavirus can only survive in cold temperatures.,1.23393447199033e+18,pos,Virus origin and properties
99,23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339817971696e+18,pos,Virus origin and properties
100,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392698274584e+18,pos,Virus origin and properties
101,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23396278295929e+18,pos,Virus origin and properties
102,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23394411270286e+18,pos,Virus origin and properties
103,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23398185407366e+18,neg,Virus origin and properties
104,23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339636040696e+18,pos,Virus origin and properties
105,23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339578261559e+18,pos,Virus origin and properties
106,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23393100012997e+18,pos,Virus origin and properties
107,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23396036968675e+18,pos,Virus origin and properties
108,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23397532997204e+18,pos,Virus origin and properties
109,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392440258623e+18,pos,Virus origin and properties
110,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390638971149e+18,neg,Virus origin and properties
111,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23395845878686e+18,pos,Virus origin and properties
112,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23399108937322e+18,pos,Virus origin and properties
113,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23397975387246e+18,pos,Virus origin and properties
114,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392850023256e+18,pos,Virus origin and properties
115,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392366818446e+18,pos,Virus origin and properties
116,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23396378159791e+18,pos,Virus origin and properties
117,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23391965634538e+18,pos,Virus origin and properties
118,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390694523866e+18,pos,Virus origin and properties
119,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23393327810244e+18,pos,Virus origin and properties
120,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392784212926e+18,pos,Virus origin and properties
121,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23398886738621e+18,pos,Virus origin and properties
122,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392183026557e+18,pos,Virus origin and properties
123,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390700226868e+18,pos,Virus origin and properties
124,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23399241784767e+18,pos,Virus origin and properties
125,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23394635219264e+18,pos,Virus origin and properties
126,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23397811964141e+18,pos,Virus origin and properties
127,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23393547853513e+18,pos,Virus origin and properties
128,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23391274627994e+18,pos,Virus origin and properties
129,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23398140985916e+18,neg,Virus origin and properties
130,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23396991887131e+18,pos,Virus origin and properties
131,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23398607878218e+18,pos,Virus origin and properties
132,23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339812929303e+18,neg,Virus origin and properties
133,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23391201045623e+18,pos,Virus origin and properties
134,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390923014026e+18,pos,Virus origin and properties
135,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390897369643e+18,pos,Virus origin and properties
136,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392946444426e+18,pos,Virus origin and properties
137,23,SARS-CoV-2 can survive for weeks on surfaces.,1.23390553398948e+18,pos,Virus origin and properties
