,index,date,full_date,id,text,time
0,0,2020-10-20,2020-10-20 15:17:40,1318572096277139462,Remdesivir Falls Through as a COVID-19 Treatment: https://t.co/5RDjj6oOzz #coronavirus #COVID19 #pandemic #Remdesivir #WorldHealthOrganization #WHO #GileadSciencesInc #hydroxychloroquine #lopinavir #ritonavir #interferon #healthcare,15:17:40
1,1,2020-10-17,2020-10-17 07:03:44,1317360631452897280,"#CoronaVirusUpdates @WHO discontinued studies related to the treatment of #Covid19 with #plasmatherapy  #hydroxychloroquine #ritonavir #lopinavir #interferon and #remdesivir  video of molecular strategy for effective #IndiaFightsCorona #StayHomeSaveLives

https://t.co/OwQEQb07cP",07:03:44
2,2,2020-10-16,2020-10-16 10:54:14,1317175283234070533,Repurposed antiviral drugs for #COVID19 https://t.co/o89Vs44vbG Interim @WHO SOLIDARITY trial results. #Openaccess #preprint #research via @medrxivpreprint #remdesivir #hydroxychloroquine #lopinavir #ritonavir #interferon,10:54:14
3,3,2020-10-16,2020-10-16 09:34:41,1317056251881283584,"Remdesivir, #Hydroxychloroquine , lopinavir/ritonavir and interferon regimens appeared to have little or no effect on 28-day mortality or the in-hospital course of #COVID19 among hospitalised patients. https://t.co/X5IebdlqI9",09:34:41
4,4,2020-10-16,2020-10-16 18:47:14,1317236840768954368,"„The results indicated that the #remdesivir, #hydroxychloroquine, lopinavir/ritonavir and interferon drug treatment regimens “appeared to have little or no effect on 28-day mortality [...]“ #COVID19de  https://t.co/JVyb3z9kvK",18:47:14
5,5,2020-10-16,2020-10-16 22:51:50,1257325442140266501,"Large, non-peer reviewed #study #WHO: #remdesivir, #hydroxychloroquine, #lopinavir (in combination with #ritonavir) and #interferon-bèta1a (in combination with #lopinavir) have little to no effect on #COVID19.

https://t.co/AwjI3szXKc",22:51:50
6,6,2020-05-04,2020-05-04 15:05:20,1280029976457347072,"Macron: #DISCOVERY trial data will be released May 14

Study includes 3200 patients (Belgium, France, Germany Lux, Netherlands, Spain, Sweden, UK) w/5 treatment arms:

SOC
SOC + remdesivir
SOC + lopinavir+ritonavr
SOC + lopinavir+ritonavir &amp; interferon
SOC + #hydroxychloroquine",15:05:20
7,7,2020-07-04,2020-07-04 22:46:09,1317036230199156738,#WHO discontinues #hydroxychloroquine and lopinavir/ritonavir treatment arms for #COVID19 https://t.co/7j3Te3dKzM,22:46:09
8,8,2020-07-08,2020-07-08 09:52:40,1279547070920048640,"WHO discontinues #hydroxychloroquine and lopinavir/ritonavir treatment arms for COVID-19

https://t.co/iWfeJRSrXn",09:52:40
9,9,2020-07-06,2020-07-06 06:45:02,1280801968693411841,WHO discontinues hydroxychloroquine and lopinavir/ritonavir treatment arms for COVID-19 https://t.co/kVmIibLibv #COVID19 #WHO #hydroxychloroquine #CORONAVIRUS #ritonavir #lopinavir #medicine #treatment #cdnpoli #snrtg,06:45:02
10,0,2020-10-18,2020-10-18 10:49:24,1279582554111250432,"Therapeutics like the #remdesivir, #hydroxychloroquine, #lopinavir/#ritonavir, and #interferon regimens which #healthcare systems around the world were swearing on in the absence of a #vaccine, turned out largely ineffective, #WHO says.
https://t.co/k45x09ReRX",10:49:24
11,1,2020-10-17,2020-10-17 00:43:18,1279515322534563840,"#remdesivir, #HydroxyChloroquine, #Lopinavir and #interferon showed no effectiveness in treating #COVIDVIC19, a #WHO study confirmed.

https://t.co/e1VYJD0HMd",00:43:18
12,2,2020-10-16,2020-10-16 16:19:00,1279610395842318336,"World’s largest randomized control trial generated conclusive evidence on effectiveness of repurposed drugs for #COVID19.

Results indicate #remdesivir, #hydroxychloroquine, lopinavir/ritonavir, interferon appear to have little/no effect on 28day mortality https://t.co/AczVKdpElB",16:19:00
13,3,2020-07-05,2020-07-05 10:50:24,1317264892924022795,"WHO discontinues HCQ, lopinavir/ritonavir treatment after 'lack of evidence' in hospitalised patients

#WHO #Hydroxychloroquine #lopinavir #coronavirus #COVID19 

https://t.co/Ho0lwI0qTA",10:50:24
14,4,2020-07-05,2020-07-05 01:07:09,1317779810756841473,#WHO discontinues #hydroxychloroquine and #lopinavir/#ritonavir treatment arms for #COVID-19 https://t.co/7sAqwkvTsa,01:07:09
15,5,2020-07-04,2020-07-04 20:39:59,1317137981958803457,WHO discontinues #hydroxychloroquine and lopinavir/ritonavir treatment arms for COVID-19 https://t.co/bfb53i8eEl,20:39:59
16,6,2020-07-05,2020-07-05 02:57:47,1279487826757931008,WHO discontinues #hydroxychloroquine and #lopinavir/ritonavir treatment arms for #COVID-19  https://t.co/XCKrZYEaqH,02:57:47
17,7,2020-07-04,2020-07-04 20:16:22,1279987335552253953,"https://t.co/vXnDQgCy3q
#WHO discontinues #hydroxychloroquine and #lopinavir/#ritonavir treatment arms for #COVID19.
#Medical #Treatment #Virus #BreakingNews #Health",20:16:22
18,8,2020-07-04,2020-07-04 18:50:44,1279509379985915904,WHO discontinues #hydroxychloroquine and lopinavir/ritonavir treatment arms for #COVID19 #coronavirus #WHO  https://t.co/qWQSOLzTSA,18:50:44
19,9,2020-07-06,2020-07-06 03:55:36,1279729335339892736,"WHO #Halts #Hydroxychloroquine, lopinavir/ritonavir #Trials for COVID-19 #Treatment) https://t.co/ozOECe1uu6 #Covid19 #LopinavirRitonavir",03:55:36
20,0,2020-10-20,2020-10-20 12:29:38,1317389893300064257,"#WHO #COVID19 #DRUG #TEST #Results
The Solidarity Trial published interim results on 15 October 2020. It found that all 4 treatments evaluated #remdesivir #hydroxychloroquine #lopinavir &amp; #ritonavir #interferon had little or no effect on overall mortality

https://t.co/vIj5hN8dy9",12:29:38
21,1,2020-10-19,2020-10-19 15:13:48,1318208734326362112,"The study found that four treatments tested — #remdesivir, #hydroxychloroquine, lopinavir/ritonavir and interferon — had "" little or no effect"" on whether or not patients died within about a month or whether hospitalized patients recovered. https://t.co/u45YHiwn8d",15:13:48
22,2,2020-10-17,2020-10-17 09:00:01,1316919023360184321,"??News?? #WorldHealthOrganization says #Remdesivir, #Hydroxychloroquine, #Lopinavir/ritonavir and interferon regimens “have little or no effect on 28-day mortality or the in-hospital course of COVID-19 among hospitalized patients #COVID19 https://t.co/R66BSZ1rVA",09:00:01
23,3,2020-10-17,2020-10-17 01:27:27,1317276002561654785,"Let us not run after medicines, let us not panic, and stay calm!

#Remdesivir #Hydroxychloroquine #Lopinavir #Interferon

https://t.co/z9pZnwonrl",01:27:27
24,4,2020-10-16,2020-10-16 08:52:00,1316937781122400256,"Big global #study finds #remdesivir doesn't help #COVID__19 #patients. Neither #hydroxychloroquine, the HIV combination of #lopinavir plus #ritonavir, and #interferon. None of them helped patients live any longer or get out of the hospital any sooner. 
https://t.co/VP3yxLt1lk",08:52:00
25,5,2020-10-16,2020-10-16 03:03:29,1279885799475908608,"Disappointing, but important results from #WHO #Solidarity trial showing no mortality benefit with any of the four drugs - #remdesivir #lopinavir-ritonavir #interferon B or #Hydroxychloroquine - Repurposed antiviral drugs for COVID-19; interim WHO results  https://t.co/eDCoBjkt2r",03:03:29
26,6,2020-10-16,2020-10-16 01:48:56,1252618918235123712,"#Imp: Interim results of @WHO's solidarity trial are out: #Remdesivir, #hydroxychloroquine, #lopinavir/#ritonavir and interferon regimens have little or no effect on 28-day mortality or in-hospital course of #COVID19 among hospitalized patients.

#Covid_19 
@NewIndianXpress",01:48:56
